"<strong>Attention</strong>: Captcha is case sensitive.","<strong>Atención</strong>: Captcha distingue entre mayúsculas y minúsculas."
"After number of attempts to login","Después de varios intentos de loguearse"
"Always","Siempre"
"CAPTCHA","CAPTCHA"
"CAPTCHA Timeout (minutes)","Tiempo límite de CAPTCHA (en minutos)"
"CAPTCHA for ""Create user"" and ""Forgot password"" forms is always enabled if chosen","Si habilita esta opción, el CAPTCHA se mostrará siempre en Registracion y Recuperar contraseña"
"Case Sensitive","Distinguir entre mayúsculas y minúsculas"
"Displaying Mode","Modo de rendereo"
"Enable CAPTCHA in Admin","Activar CAPTCHA en Administrador"
"Enable CAPTCHA on Frontend","Activar CAPTCHA en Frontend"
"Font","Fuente"
"Forms","Formularios"
"If 0 is specified, CAPTCHA on the Login form will be always available.","Si ingresa 0, CAPTCHA en login estará siempre disponible."
"Incorrect CAPTCHA.","CAPTCHA incorrecto."
"Number of Symbols","Número de símbolos"
"Number of Unsuccessful Attempts to Login","Número de intentos fallidos para iniciar sesión"
"Please specify 8 symbols at the most. Range allowed (e.g. 3-5)","Por favor, especifique 8 símbolos a lo sumo. Rango permitido (por ejemplo, 3-5)"
"Please type the letters below","Por favor escriba las letras de abajo"
"Please type the letters from the image:","Por favor, escriba las letras de la imagen:"
"Please use only letters (a-z or A-Z) or numbers (0-9) in this field. No spaces or other characters are allowed.<br />Similar looking characters (e.g. ""i"", ""l"", ""1"") decrease chance of correct recognition by customer.","Por favor use solo letras (a-z or A-Z) o números (0-9) en este campo. No se permiten espacios u otros caracteres.<br />Caracteres similares (por ej. ""i"", ""l"", ""1"") disminuyen las chances de que el usuario las reconozca."
"Reload captcha","Recargar captcha"
"Symbols Used in CAPTCHA","Simbolos que se utilizan en CAPTCHA"
