"My Wishlist","Mis favoritos"
"Your Wish List","Tus favoritos"
"My Wishlist (%d item)","Tus favoritos(%d)"
"My Wishlist (%d items)","Tus favoritos (%d)"
"Hello, %s","Hola, %s"
"Your Account","Tu cuenta"
"New customer?","Sos nuevo?"
"Start here","Arranca acá"
"Your Orders","Tus ordenes"
"items","items"
"Cart","Carrito"
"Edit your Cart","Modificar el carrito"
"Your Cart (%s)","Tu carrito (%s)"
"Shop","Tienda"
"Back","Atras"
"View All","Ver todo"
"Your shopping cart is currently empty.","Tu carrito está vacio."
"Filter","Filtrar"
"asc.","asc."
"desc.","desc."
"Back to Top","Ir arriba"
"Subscribe to our Newsletter","suscribite a nuestro Newsletter"
"Enter your email","Ingresá tu email"
"Product Description","Descripción del produto"
"Additional Info","Información adicional"
"Custom Info","Custom Info"
"Ratings & Reviews","Ratings y Comentarios"
"Tags","Tags"
"Add your tags","Agregar tags"
"Already Registered?","Ya te registraste?"
"Sign in","Ingresa!"
"Hello. Sign in","Ingresá!"
"Show more details","Ver mas detalles"
"Show less details","Ver menos detalles"
"Chinese","Chino"
"Dutch","Dutch"
"English","Ingés"
"French","Frances"
"German","Aleman"
"Italian","Italiano"
"Japanese","Japones"
"Norwegian","Noruego"
"Portuguese","Portugues"
"Russian","Ruso"
"Spanish","Español"
"Swedish","Sueco"
"Please enter your new password.","Por favor ingresa tu nueva contraseña."
"customer reviews","Comentarios de clientes"
"reviews","Comentarios"
"review","Comentario"
"To buy, select <strong>%s</strong>","Para comprar, selecciona <strong>%s</strong>"
"Choose from options to the left","Elegí de las opciones"
"To buy, select quantities to the left","Selecciona las cantidades"
" and "," y "
"Please check your spelling, try more general words or use synonyms.","Por favor proba denuevo con otras palabras"
"Top Destinations","Más visitadas"
"Account menu","Cuenta"
"Male","Hombre"
"Female","Mujer"
"Select an Option","Elegí una opción"
"Accept","Acceptar"
"Product Detail","Detalles del producto"
"Ratings & Reviews for","Ratings & comentarios para"
"Quick View","Vista previa"
"View Details","Ver Detalles"
"View Cart","Ver Carrito"
